[2025-10-22 22:45:17] [INFO    ] discord.client: logging in using static token
[2025-10-22 22:45:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Praseodymium–nickel (PrNi5)', 'primary_guild': None, 'mfa_enabled': False, 'id': '1081959306339033228', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7897', 'clan': None, 'bot': True, 'avatar': 'd6a2579e6b54740938d4c23c74851289'}, 'session_type': 'normal', 'session_id': 'bcfbe9298c77d559e144f8ce4f4ede85', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1368864187341865010'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1081959306339033228', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-xb40",{"micros":99827,"calls":["id_created",{"micros":329,"calls":[]},"session_lookup_time",{"micros":1445,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-prd-2-83",{"micros":97696,"calls":["start_session",{"micros":77252,"calls":["discord-api-rpc-5b5d9f69c-4589v",{"micros":41291,"calls":["get_user",{"micros":6496},"get_guilds",{"micros":2515},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":532},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":27681},"apex_experiments",{"micros":1993},"user_activities",{"micros":5},"played_application_ids",{"micros":2},"linked_users",{"micros":6}]}]},"starting_guild_connect",{"micros":38,"calls":[]},"presence_started",{"micros":14938,"calls":[]},"guilds_started",{"micros":53,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":5359,"calls":[]},"connect_finished",{"micros":5365,"calls":[]},"build_ready",{"micros":47,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-22 22:45:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:19] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: bcfbe9298c77d559e144f8ce4f4ede85).
[2025-10-22 22:45:19] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-22 22:45:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'features': [], 'preferred_locale': 'en-US', 'activity_instances': [], 'member_count': 4, 'latest_onboarding_question_id': None, 'region': 'deprecated', 'banner': None, 'explicit_content_filter': 0, 'profile': None, 'embedded_activities': [], 'incidents_data': None, 'voice_states': [], 'emojis': [{'version': 1757863812512, 'roles': [], 'require_colons': True, 'name': 'fdf03ea7d61d31f187017ed5df0effd5', 'managed': False, 'id': '1416808260845178961', 'available': True, 'animated': False}], 'max_members': 25000000, 'stage_instances': [], 'premium_tier': 0, 'id': '1368864187341865010', 'default_message_notifications': 0, 'owner_id': '896694238933291008', 'system_channel_flags': 0, 'icon': '9c8e186a84abe305f8d9a97624dfb4c0', 'premium_subscription_count': 0, 'name': 'Material Science Lab🧪', 'vanity_url_code': None, 'public_updates_channel_id': None, 'nsfw': False, 'guild_scheduled_events': [], 'afk_timeout': 300, 'threads': [], 'premium_progress_bar_enabled': False, 'rules_channel_id': None, 'premium_features': None, 'home_header': None, 'description': None, 'soundboard_sounds': [], 'lazy': True, 'max_stage_video_channel_users': 50, 'channels': [{'version': 1754564961398, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'GENERAL CHAT📚', 'id': '1368864187341865011', 'flags': 0}, {'version': 1754564889995, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'VOICE CHAT🔊', 'id': '1368864187341865012', 'flags': 0}, {'version': 1756732149012, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1368864187341865010', 'deny': '633577201348689', 'allow': '1126726688163840'}], 'parent_id': '1368864187341865011', 'name': 'open-testing-lab🔬', 'last_message_id': '1428317221998039042', 'id': '1368864187341865013', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1754541067790, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1368864187341865012', 'name': 'Meeting room 1', 'last_message_id': None, 'id': '1368864187866026034', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1754541078921, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1368864187341865012', 'name': 'Meeting room 2', 'last_message_id': None, 'id': '1368875472942927943', 'flags': 0, 'bitrate': 64000}, {'version': 1754541087562, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1368864187341865012', 'name': 'Meeting room 3', 'last_message_id': None, 'id': '1368875546762678356', 'flags': 0, 'bitrate': 64000}, {'version': 1754565222611, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1368864187341865010', 'deny': '1126451810140160', 'allow': '0'}], 'parent_id': '1368864187341865011', 'name': 'general-chat', 'last_message_id': '1401853112683331645', 'id': '1368896897464533114', 'flags': 0}, {'version': 1754564862889, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1368864187341865011', 'name': 'archieve🔖', 'last_message_id': '1405398010053001266', 'id': '1402638740501037178', 'flags': 0}, {'version': 1754555446512, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'GUIDES & ANNOUNCEMENT 💡', 'id': '1402931527716835348', 'flags': 0}, {'version': 1754564976194, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1368864187341865012', 'name': 'interrogation-room🚨', 'last_message_id': None, 'id': '1402970537218670636', 'flags': 0, 'bitrate': 64000}, {'version': 1756554860290, 'type': 15, 'topic': None, 'template': '', 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1402931527716835348', 'name': 'announcement🔔', 'last_message_id': None, 'id': '1402970632735428729', 'flags': 0, 'default_tag_setting': 'match_some', 'available_tags': [{'name': 'Bot Update 🤖', 'moderated': True, 'id': '1411318117723803758', 'emoji_name': '📈', 'emoji_id': None, 'color': None}]}, {'version': 1756289728625, 'type': 15, 'topic': "**This server is where research-related posts and research summary are posted. Please comply to the following rules when posting on this server❗:**\n1. No offensive content (🔞, political related , harassment, or unrelated contents about researches)\n2. Research paper must adhere fundamental rules that ensure clarity, credibility, ethics, and academic integrity 💡. \n3. Please use formal language in posts. Be concise, clear, and specific when asking a question. Remember to include explanations to glossary\n3. Please be kind and supportive to others 🍀. Constructive feedbacks and opinions are encouraged! ⭐\n-- Feel free to express opinion, feedback, and criticism within server's rules boundary. We appreciate your contribution to the community and look forward to seek knowledge together. Thank you💖--", 'template': '', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1402931527716835348', 'name': 'discussion🗣️', 'last_message_id': '1407251206329598072', 'id': '1402970746443268147', 'flags': 0, 'default_tag_setting': 'match_some', 'default_reaction_emoji': {'emoji_name': '👍', 'emoji_id': None}, 'available_tags': [{'name': 'Research Paper', 'moderated': False, 'id': '1407247088307404811', 'emoji_name': '📰', 'emoji_id': None, 'color': None}, {'name': 'Academic-Related', 'moderated': False, 'id': '1407247132766769192', 'emoji_name': '💡', 'emoji_id': None, 'color': None}, {'name': 'Computer System', 'moderated': False, 'id': '1410206021766611016', 'emoji_name': '🖥️', 'emoji_id': None, 'color': None}]}, {'version': 1754568885284, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 1, 'id': '1081959306339033228', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '1399787438783729815', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '1367507669690355825', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1368864187341865010', 'deny': '1024', 'allow': '0'}], 'parent_id': '1402931527716835348', 'name': 'bot-testing-lab', 'last_message_id': '1406661658390298706', 'id': '1402988334292140053', 'flags': 0}], 'stickers': [], 'mfa_level': 0, 'application_id': None, 'inventory_settings': None, 'joined_at': '2025-05-06T05:51:52.572000+00:00', 'roles': [{'version': 1746433054605, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1368864187341865010', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1755582663394, 'unicode_emoji': None, 'tags': {'bot_id': '1081959306339033228'}, 'position': 2, 'permissions': '563276371324000', 'name': 'Research Paper Announcer', 'mentionable': False, 'managed': True, 'id': '1369189908383531071', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1755582754699, 'unicode_emoji': None, 'tags': {'bot_id': '1399787438783729815'}, 'position': 1, 'permissions': '563328179301408', 'name': 'Research Assistant', 'mentionable': False, 'managed': True, 'id': '1399958162123001928', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 1752220}, 'color': 1752220}], 'safety_alerts_channel_id': None, 'splash': None, 'hub_type': None, 'large': False, 'afk_channel_id': None, 'system_channel_id': '1368864187341865013', 'verification_level': 0, 'max_video_channel_users': 25, 'application_command_counts': {}, 'version': 1757863812526, 'presences': [], 'moderator_reporting': None, 'nsfw_level': 0, 'members': [{'user': {'username': 'Praseodymium–nickel (PrNi5)', 'public_flags': 0, 'primary_guild': None, 'id': '1081959306339033228', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7897', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6a2579e6b54740938d4c23c74851289'}, 'roles': ['1369189908383531071'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-06T05:51:52.572000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'unavailable': False, 'discovery_splash': None, 'owner_configured_content_level': 0}}
[2025-10-22 22:45:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'b1e16465d556a3876648fb391ac3af0d', 'members': [{'user': {'username': 'leaveorillnuke', 'public_flags': 0, 'primary_guild': None, 'id': '896694238933291008', 'global_name': 'tatatatatatata kururi', 'display_name_styles': None, 'display_name': 'tatatatatatata kururi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '2a03d5308eee0b0ddd7279042dc31eb0'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-05T08:17:34.555000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Praseodymium–nickel (PrNi5)', 'public_flags': 0, 'primary_guild': None, 'id': '1081959306339033228', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7897', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6a2579e6b54740938d4c23c74851289'}, 'roles': ['1369189908383531071'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-06T05:51:52.572000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'thuadethier_96585', 'public_flags': 0, 'primary_guild': None, 'id': '1367507669690355825', 'global_name': 'Thuadethiee', 'display_name_styles': None, 'display_name': 'Thuadethiee', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8569adcbd36c70a7578c017bf5604ea5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-03T15:41:01.432000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'PhineX', 'public_flags': 0, 'primary_guild': None, 'id': '1399787438783729815', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2686', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '9be9771541d37b6cfcf01852f4d994be'}, 'roles': ['1399958162123001928'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-30T03:33:55.843000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1368864187341865010', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-22 22:45:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:20] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1368864187341865010.
[2025-10-22 22:45:21] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-22 22:45:21] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-22 22:45:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T15:45:31.467000+00:00', 'pinned': False, 'nonce': '1430582850570158080', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-05T08:17:34.555000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430582854542295232', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!wplot [95,307,569,302,745]', 'components': [], 'channel_type': 0, 'channel_id': '1368864187341865013', 'author': {'username': 'leaveorillnuke', 'public_flags': 0, 'primary_guild': None, 'id': '896694238933291008', 'global_name': 'tatatatatatata kururi', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '2a03d5308eee0b0ddd7279042dc31eb0'}, 'attachments': [], 'guild_id': '1368864187341865010'}}
[2025-10-22 22:45:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:30] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 22:45:30] [DEBUG   ] discord.client: Dispatching event command
[2025-10-22 22:45:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T15:45:55.451000+00:00', 'pinned': False, 'nonce': '4759062990539780268', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1369189908383531071'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-06T05:51:52.572000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430582955138613320', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Molecular Weight plot', 'image': {'width': 640, 'url': 'https://cdn.discordapp.com/attachments/1368864187341865013/1430582955419504731/plot.png?ex=68fa4db3&is=68f8fc33&hm=d6d8e71ec582150fbc7a80c32790aea0dcecfd18afed4daadf0dd657e96145a0&', 'proxy_url': 'https://media.discordapp.net/attachments/1368864187341865013/1430582955419504731/plot.png?ex=68fa4db3&is=68f8fc33&hm=d6d8e71ec582150fbc7a80c32790aea0dcecfd18afed4daadf0dd657e96145a0&', 'placeholder_version': 1, 'placeholder': '/fcBBYCE2q1fhYiiesdmltkFmV2Q', 'height': 480, 'flags': 0, 'description': None, 'content_type': 'image/png'}, 'id': '1430582955721359360', 'content_scan_version': 2, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1368864187341865013', 'author': {'username': 'Praseodymium–nickel (PrNi5)', 'public_flags': 0, 'primary_guild': None, 'id': '1081959306339033228', 'global_name': None, 'display_name_styles': None, 'discriminator': '7897', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6a2579e6b54740938d4c23c74851289'}, 'attachments': [], 'guild_id': '1368864187341865010'}}
[2025-10-22 22:45:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:55] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 22:45:55] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368864187341865013/messages with <aiohttp.formdata.FormData object at 0x000001C74AAC7D40> has returned 200
[2025-10-22 22:45:55] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-22 22:45:55] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368864187341865013/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Molecular Weight plot', 'color': 3447003, 'image': {'url': 'https://cdn.discordapp.com/attachments/1368864187341865013/1430582955419504731/plot.png?ex=68fa4db3&is=68f8fc33&hm=d6d8e71ec582150fbc7a80c32790aea0dcecfd18afed4daadf0dd657e96145a0&', 'proxy_url': 'https://media.discordapp.net/attachments/1368864187341865013/1430582955419504731/plot.png?ex=68fa4db3&is=68f8fc33&hm=d6d8e71ec582150fbc7a80c32790aea0dcecfd18afed4daadf0dd657e96145a0&', 'width': 640, 'height': 480, 'content_type': 'image/png', 'placeholder': '/fcBBYCE2q1fhYiiesdmltkFmV2Q', 'placeholder_version': 1}, 'content_scan_version': 2}], 'timestamp': '2025-10-22T15:45:55.451000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1430582955138613320', 'channel_id': '1368864187341865013', 'author': {'id': '1081959306339033228', 'username': 'Praseodymium–nickel (PrNi5)', 'avatar': 'd6a2579e6b54740938d4c23c74851289', 'discriminator': '7897', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd72a4432879ed9a984f3d3bf3bd6b137', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4759062990539780268'}
[2025-10-22 22:45:55] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-22 22:45:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T15:45:58.774000+00:00', 'pinned': False, 'nonce': '1430582967943561216', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-03T15:41:01.432000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430582969076289680', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!wplot [27,763,225]', 'components': [], 'channel_type': 0, 'channel_id': '1368864187341865013', 'author': {'username': 'thuadethier_96585', 'public_flags': 0, 'primary_guild': None, 'id': '1367507669690355825', 'global_name': 'Thuadethiee', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8569adcbd36c70a7578c017bf5604ea5'}, 'attachments': [], 'guild_id': '1368864187341865010'}}
[2025-10-22 22:45:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:45:58] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 22:45:58] [DEBUG   ] discord.client: Dispatching event command
[2025-10-22 22:46:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-10-22 22:46:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-22 22:46:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T15:46:02.425000+00:00', 'pinned': False, 'nonce': '13319720100919983035', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1369189908383531071'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-06T05:51:52.572000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430582984389693612', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Molecular Weight plot', 'image': {'width': 640, 'url': 'https://cdn.discordapp.com/attachments/1368864187341865013/1430582984490225754/plot.png?ex=68fa4dba&is=68f8fc3a&hm=7c94374a656f7cd2e813495429575fc0bc6645f368c4041d76390836cbe4382d&', 'proxy_url': 'https://media.discordapp.net/attachments/1368864187341865013/1430582984490225754/plot.png?ex=68fa4dba&is=68f8fc3a&hm=7c94374a656f7cd2e813495429575fc0bc6645f368c4041d76390836cbe4382d&', 'placeholder_version': 1, 'placeholder': '/vcBBYCYh4lfhIiQeshWdI704kgv', 'height': 480, 'flags': 0, 'description': None, 'content_type': 'image/png'}, 'id': '1430582984389693613', 'content_scan_version': 2, 'color': 3447003}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1368864187341865013', 'author': {'username': 'Praseodymium–nickel (PrNi5)', 'public_flags': 0, 'primary_guild': None, 'id': '1081959306339033228', 'global_name': None, 'display_name_styles': None, 'discriminator': '7897', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd6a2579e6b54740938d4c23c74851289'}, 'attachments': [], 'guild_id': '1368864187341865010'}}
[2025-10-22 22:46:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 22:46:02] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 22:46:02] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1368864187341865013/messages with <aiohttp.formdata.FormData object at 0x000001C74A2BEFF0> has returned 200
